                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.70794,                0.91823,                 1.2664,                0.61482,                0.62064,                0.48673,                0.35437,                 1.0016,                 1.5793,                 1.6221,             0.00036307,             0.00036307,             0.00036307
                     36,                0.75343,                 0.9378,                 1.3089,                0.71147,                 0.6048,                0.66814,                0.53369,                0.86794,                 1.1539,                 1.4463,             0.00034108,             0.00034108,             0.00034108
                     37,                0.68369,                0.86142,                 1.2536,                0.63492,                 0.5625,                0.62981,                0.49476,                0.91382,                 1.2193,                 1.5427,             0.00031908,             0.00031908,             0.00031908
                     38,                0.65726,                0.84883,                 1.2462,                0.67867,                0.67453,                0.62061,                 0.5129,                 0.8519,                 1.4232,                 1.4716,             0.00029708,             0.00029708,             0.00029708
                     39,                0.64146,                0.84494,                 1.2267,                0.70048,                0.64155,                0.62757,                0.47481,                 0.9187,                 1.3929,                 1.4826,             0.00027508,             0.00027508,             0.00027508
                     40,                0.64784,                0.80956,                 1.2521,                0.51903,                  0.625,                 0.6187,                0.45507,                0.83483,                 1.4033,                 1.4017,             0.00025309,             0.00025309,             0.00025309
                     41,                0.61212,                0.97963,                 1.2809,                0.56602,                 0.8125,                0.68861,                 0.5012,                0.93962,                 1.1237,                 1.5851,             0.00023109,             0.00023109,             0.00023109
                     42,                0.59813,                0.74365,                  1.312,                0.57866,                0.66865,                0.66151,                0.47671,                 0.9095,                 1.1846,                 1.6356,             0.00020909,             0.00020909,             0.00020909
                     43,                0.56571,                 0.6396,                 1.2562,                0.61401,                0.80158,                0.67423,                0.46417,                0.99207,                 1.3367,                 1.7472,             0.00018709,             0.00018709,             0.00018709
                     44,                0.51215,                0.63642,                 1.2472,                0.55167,                 0.8125,                0.62269,                0.40686,                0.95879,                 1.4439,                  1.671,             0.00016509,             0.00016509,             0.00016509
                     45,                 0.4678,                0.53699,                 1.1692,                0.49984,                 0.8125,                 0.6325,                0.47462,                0.89705,                  1.211,                 1.5807,              0.0001431,              0.0001431,              0.0001431
                     46,                0.48507,                0.55181,                  1.227,                0.70808,                0.62981,                0.67287,                0.53744,                0.85043,                 1.0659,                 1.4866,              0.0001211,              0.0001211,              0.0001211
                     47,                0.51793,                0.58595,                 1.2454,                   0.63,                0.67199,                0.72199,                 0.5679,                0.84904,                 1.1693,                  1.463,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.46629,                0.50819,                 1.1863,                0.57175,                0.79994,                0.64303,                0.50571,                0.83154,                 1.2259,                 1.4395,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                 0.4133,                0.51006,                 1.1132,                 0.6325,                 0.8125,                0.65056,                 0.4921,                0.82984,                 1.2451,                 1.4477,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 0.4047,                 0.4934,                 1.1082,                0.65897,                 0.8125,                0.67712,                0.53301,                0.83366,                 1.1799,                 1.4834,             3.3108e-05,             3.3108e-05,             3.3108e-05
